iter	Passed	Remaining
0	1	123
1	2	122
2	3	111
3	4	108
4	5	102
5	6	94
6	6	88
7	7	88
8	8	86
9	9	86
10	10	87
11	12	88
12	13	88
13	14	88
14	15	88
15	16	87
16	17	86
17	18	86
18	20	86
19	21	84
20	21	82
21	22	80
22	24	81
23	25	81
24	26	80
25	27	78
26	28	77
27	29	76
28	31	77
29	32	76
30	33	75
31	36	76
32	37	76
33	38	75
34	39	73
35	40	72
36	41	71
37	42	69
38	43	68
39	44	67
40	45	65
41	46	64
42	47	63
43	48	62
44	49	61
45	50	59
46	51	58
47	53	57
48	54	56
49	55	55
50	57	54
51	58	53
52	59	52
53	61	51
54	62	50
55	63	49
56	64	48
57	65	47
58	67	46
59	68	45
60	69	44
61	71	43
62	72	42
63	73	41
64	74	40
65	75	38
66	76	37
67	77	36
68	78	35
69	79	34
70	81	33
71	82	32
72	83	31
73	84	29
74	86	28
75	87	27
76	88	26
77	89	25
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	95	18
84	96	17
85	97	15
86	105	15
87	105	14
88	107	13
89	108	12
90	111	11
91	113	9
92	114	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	122	0
