iter	Passed	Remaining
0	102	102489
1	105	52511
2	109	36255
3	113	28165
4	117	23299
5	119	19825
6	121	17203
7	122	15190
8	123	13622
9	125	12383
10	127	11436
11	128	10588
12	130	9935
13	132	9328
14	133	8769
15	134	8296
16	136	7865
17	138	7548
18	140	7245
19	143	7040
20	146	6846
21	149	6658
22	152	6491
23	156	6377
24	161	6294
25	165	6187
26	168	6085
27	172	5973
28	175	5862
29	178	5768
30	181	5664
31	183	5541
32	186	5470
33	190	5409
34	193	5343
35	195	5241
36	199	5193
37	202	5126
38	205	5061
39	207	4985
40	210	4912
41	211	4826
42	214	4765
43	216	4699
44	218	4632
45	220	4571
46	222	4514
47	224	4446
48	226	4387
49	228	4348
50	231	4299
51	232	4244
52	234	4194
53	236	4142
54	237	4088
55	239	4033
56	240	3982
57	242	3944
58	244	3901
59	246	3858
60	247	3815
61	249	3771
62	251	3734
63	252	3691
64	253	3648
65	254	3606
66	256	3570
67	257	3533
68	258	3494
69	260	3455
70	261	3417
71	262	3380
72	263	3348
73	264	3313
74	265	3280
75	267	3256
76	268	3222
77	270	3197
78	272	3173
79	273	3145
80	274	3114
81	275	3087
82	276	3054
83	277	3026
84	278	3000
85	279	2974
86	280	2948
87	282	2924
88	283	2900
89	284	2876
90	285	2853
91	287	2832
92	288	2811
93	289	2789
94	290	2766
95	291	2745
96	292	2722
97	293	2700
98	294	2680
99	295	2660
100	296	2640
101	298	2624
102	299	2605
103	300	2590
104	301	2573
105	303	2556
106	304	2538
107	305	2520
108	306	2502
109	307	2486
110	308	2469
111	309	2453
112	310	2437
113	311	2420
114	312	2404
115	313	2388
116	314	2371
117	315	2356
118	316	2343
119	317	2329
120	318	2316
121	319	2301
122	320	2287
123	321	2274
124	323	2261
125	324	2247
126	324	2232
127	325	2219
128	326	2207
129	328	2195
130	329	2183
131	330	2174
132	332	2165
133	333	2154
134	334	2143
135	335	2131
136	336	2119
137	337	2108
138	338	2097
139	339	2086
140	340	2075
141	341	2062
142	342	2050
143	343	2039
144	344	2029
145	345	2019
146	346	2010
147	347	2002
148	349	1993
149	350	1984
150	351	1976
151	352	1968
152	353	1959
153	354	1949
154	355	1940
155	357	1932
156	358	1923
157	359	1914
158	360	1906
159	362	1901
160	363	1894
161	364	1887
162	366	1881
